sale_date,product_id,quantity,sales_price_tax,regular_price_tax,sales_price,regular_price,purchase_price
2021-01-02,110853,1,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-01-03,157318,1,4590.0,12211.0,3825.0,10175.9259,3481.2
2021-01-04,107645,3,1990.0,4433.0,1658.0,3694.4444,1369.29
2021-01-04,110853,12,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-01-04,110908,1,4490.0,7767.0,3742.0,6472.2222,3722.0
2021-01-04,112376,3,379.0,544.0,316.0,453.7037,168.97
2021-01-04,112377,1,849.0,1322.0,708.0,1101.8519,545.611
2021-01-04,112437,1,6999.0,9443.0,5832.0,7869.4444,5086.0648
2021-01-04,122363,3,6990.0,15544.0,5825.0,12953.7037,4924.0
2021-01-04,124329,2,2915.5,3332.0,2429.5,2776.8519,1600.0
2021-01-04,124455,4,19990.0,28332.0,16658.0,23610.1852,16101.3291
2021-01-04,125506,1,1132.0,1656.0,943.0,1379.6296,718.07
2021-01-04,128194,6,20438.0,31666.0,17032.0,26387.963,18114.0791
2021-01-04,128772,2,20769.5,24433.0,17308.0,20361.1083,16323.12
2021-01-04,131910,1,7990.0,11110.0,6658.0,9258.3333,6147.9215
2021-01-04,142254,3,4490.0,7767.0,3742.0,6472.2222,3783.0
2021-01-04,143220,4,2490.0,5544.0,2075.0,4620.3704,1712.49
2021-01-04,143226,1,2490.0,2767.0,2075.0,2305.5556,1687.07
2021-01-04,149306,11,17490.0,24322.0,14575.0,20268.5185,14495.0
2021-01-04,154553,3,19990.0,22211.0,16658.0,18509.2593,14838.56
2021-01-04,154557,2,28184.0,32211.0,23486.5,26842.5926,21519.52
2021-01-04,156474,1,26990.0,34989.0,22492.0,29157.4074,20100.0
2021-01-04,157316,3,3990.0,7767.0,3325.0,6472.2222,2829.0
2021-01-04,157317,2,4599.0,11100.0,3832.0,9250.0,3516.0
2021-01-04,157318,1,4590.0,12211.0,3825.0,10175.9259,3481.2
2021-01-05,110853,2,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-01-06,103851,2,1190.0,1190.0,992.0,991.6667,773.5026
2021-01-06,107645,1,1879.0,4433.0,1566.0,3694.4444,1369.29
2021-01-06,110853,5,3990.0,8322.0,3325.0,6935.1852,2833.7
2021-01-06,110908,6,4490.0,7767.0,3742.0,6472.2222,3722.0
2021-01-06,112376,1,368.0,544.0,307.0,453.7037,168.97
2021-01-06,112377,2,874.0,1322.0,728.5,1101.8519,545.611
2021-01-06,112437,1,6999.0,9443.0,5832.0,7869.4444,5086.0648
2021-01-06,121807,1,1490.0,1490.0,1242.0,1241.6667,1009.47
2021-01-06,122363,2,6601.0,15544.0,5501.0,12953.7037,4924.0
2021-01-06,124455,2,19990.0,28332.0,16658.0,23610.1852,16101.3291
