stock_date,product_id,total_stock
2021-04-16,161147,216
2021-02-21,142254,80
2021-01-05,134200,620
2021-10-25,143220,532
2021-02-23,128194,146
2021-05-20,154557,60
2021-04-11,110675,403
2021-01-24,106100,89
2021-05-14,143226,398
2021-01-14,133888,31
2021-05-19,156474,310
2021-03-27,126707,19
2021-06-06,125506,473
2021-04-17,143220,719
2021-03-26,142254,69
2021-06-16,132842,555
2021-07-26,106100,65
2021-01-27,125506,843
2021-11-27,142254,206
2021-09-13,134358,17
2021-06-02,124329,261
2021-02-25,110853,284
2021-01-27,110853,212
2021-02-11,110675,63
2021-03-30,156095,178
2021-08-04,112377,358
2021-12-05,125506,521
2021-08-21,154553,42
2021-03-18,156474,698
2021-07-17,162102,223
2021-02-12,110908,150
2021-09-27,124329,322
2021-02-12,136250,36
2021-04-29,156095,37
2021-08-11,143226,305
2021-11-27,154557,377
2021-05-29,156866,387
2021-08-19,132284,26
2021-05-06,132284,7
2021-02-23,124455,113
2021-12-05,157913,599
2021-02-04,133888,82
2021-06-23,112376,846
2021-12-14,132842,555
2021-08-13,136250,800
2021-02-23,128772,240
2021-09-20,149306,54
2021-02-25,139935,10175
2021-10-06,162102,415
2021-09-12,136250,551
2021-11-17,132408,205
2021-10-11,124329,306
2021-10-28,106100,23
2021-12-09,128194,12
2021-08-26,162101,433
2021-01-17,156474,8
2021-12-25,145377,21
2021-07-23,143226,290
2021-03-22,112437,1936
2021-03-31,112582,72
2021-05-30,157913,491
2021-02-22,128772,254
2021-11-17,160649,5
2021-10-29,132284,35
2021-04-06,110675,420
2021-07-15,163385,53
2021-12-24,124455,6
2021-12-12,125506,636
2021-05-19,142254,82
2021-12-26,121807,406
2021-12-17,121807,452
2021-12-04,143220,372
2021-05-08,163385,62
2021-07-31,122363,323
2021-08-25,132408,301
2021-06-20,143220,551
2021-01-01,110853,321
2021-02-16,156866,443
2021-02-23,112582,3
2021-05-19,157318,102
2021-06-16,110853,16
2021-04-12,156474,37
2021-08-31,156485,2
2021-12-10,154557,329
2021-05-31,142254,94
2021-08-08,157318,313
2021-09-09,103851,658
2021-11-22,163385,447
2021-07-16,157318,325
2021-04-10,103851,501
2021-09-24,124329,329
2021-11-20,112376,442
2021-04-21,157913,470
2021-12-08,110675,417
2021-11-02,112376,512
2021-10-05,162101,466
2021-09-28,107645,293
2021-02-21,107645,406
2021-05-25,128194,12
2021-08-06,128194,34
2021-08-16,157317,247
2021-01-12,122363,220
2021-05-18,154553,43
2021-11-11,132408,292
2021-08-29,149306,30
2021-08-11,124329,360
2021-04-09,128194,126
2021-06-23,124455,21
2021-12-14,157316,321
2021-12-14,154553,6
2021-02-11,145377,696
2021-04-23,132408,260
2021-04-27,149301,783
2021-12-11,122363,137
2021-03-15,134358,22
2021-10-29,156095,21
2021-08-03,106100,61
2021-11-04,128194,20
2021-02-11,161147,19
2021-01-14,132408,265
2021-06-06,112377,139
2021-02-19,112437,2391
2021-04-09,121807,76
2021-05-26,136250,648
2021-08-05,110853,11
2021-03-06,124455,40
2021-07-30,156485,2
2021-03-27,133888,104
2021-03-23,124329,147
2021-02-06,143226,11
2021-06-29,103851,600
2021-04-18,156474,545
2021-06-20,136250,997
2021-01-03,156095,5212
2021-09-04,103851,729
2021-12-10,163385,211
2021-10-05,163385,211
2021-10-02,122363,226
2021-05-27,132408,332
2021-07-03,110853,12
2021-03-06,128194,76
2021-11-18,106100,21
2021-11-19,112437,542
2021-05-23,136250,637
2021-11-16,157913,175
2021-06-08,132284,169
2021-11-14,162101,589
2021-12-18,163385,90
2021-01-08,154553,50
2021-05-02,154553,4
2021-04-27,133888,68
2021-12-27,163385,455
2021-07-22,110908,327
2021-08-13,154557,130
2021-09-07,134200,661
2021-11-29,143220,323
2021-11-22,149301,356
2021-03-14,136250,136
2021-01-12,106100,88
2021-10-12,112376,716
2021-03-13,143226,2
2021-09-24,149301,298
2021-12-28,107645,269
2021-10-07,156485,1
2021-08-30,157317,223
2021-09-20,157318,308
2021-01-09,145377,380
2021-04-30,157316,76
2021-05-30,131910,239
2021-02-01,139935,795
2021-04-19,128772,32
2021-08-19,132408,318
2021-01-18,124455,80
2021-04-20,110853,318
2021-06-21,131910,101
2021-01-14,149306,60
2021-10-17,106100,24
2021-08-22,156866,267
2021-09-14,161147,401
2021-06-14,112582,1063
2021-07-18,156095,20
2021-11-08,164725,2
2021-12-02,149306,319
2021-12-02,177925,803
2021-05-22,103851,743
2021-10-08,122363,214
2021-09-15,133888,108
2021-05-02,106100,1292
2021-02-22,154553,59
2021-11-15,156474,4
2021-08-10,157318,298
2021-07-29,131910,129
2021-09-27,149301,298
2021-08-31,132284,152
2021-10-04,136250,271
2021-04-21,112377,428
2021-11-01,126707,44
2021-01-07,157913,345
2021-10-14,133888,167
2021-07-26,154553,44
2021-08-11,128194,30
2021-12-18,124455,7
2021-02-13,132284,154
2021-09-04,106100,34
2021-02-10,124455,134
2021-07-06,112377,406
2021-03-12,131910,541
2021-02-28,125506,573
2021-02-02,103851,455
2021-02-27,132408,440
